Id,ICESName,West,South,East,North,Scale,Filename,ImageWidth,ImageHeight,ImageWest, ImageSouth,ImageEast,ImageNorth,ContainerRectangle
1,\N,7.0,54.5,13.0,57.5,1,ROOT.png,2000,2000,7.0,54.31614,13.0,57.669343,1
5237,43F9,9.0,57.0,10.0,57.5,2,43F9.png,2000,2000,9.0,56.979373,10.0,57.520338,1
52371,43F91,9.0,57.25,9.5,57.5,3,43F91.png,2000,2000,9.0,57.240181,9.5,57.509749,5237
52372,43F92,9.5,57.25,10.0,57.5,3,43F92.png,2000,2000,9.5,57.240181,10.0,57.509749,5237
52373,43F93,9.0,57.0,9.5,57.25,3,43F93.png,2000,2000,9.0,56.989261,9.5,57.260664,5237
52374,43F94,9.5,57.0,10.0,57.25,3,43F94.png,2000,2000,9.5,56.989261,10.0,57.260664,5237
5036,38F7,7.0,54.5,8.0,55.0,2,38F7.png,2000,2000,7.0,54.461175,8.0,55.038312,1
50361,38F71,7.0,54.75,7.5,55.0,3,38F71.png,2000,2000,7.0,54.731097,7.5,55.018777,5036
50362,38F72,7.5,54.75,8.0,55.0,3,38F72.png,2000,2000,7.5,54.731097,8.0,55.018777,5036
50363,38F73,7.0,54.5,7.5,54.75,3,38F73.png,2000,2000,7.0,54.480204,7.5,54.769665,5036
50364,38F74,7.5,54.5,8.0,54.75,3,38F74.png,2000,2000,7.5,54.480204,8.0,54.769665,5036
5037,39F7,7.0,55.0,8.0,55.5,2,39F7.png,2000,2000,7.0,54.96477,8.0,55.534759,1
50371,39F71,7.0,55.25,7.5,55.5,3,39F71.png,2000,2000,7.0,55.232892,7.5,55.516993,5037
50372,39F72,7.5,55.25,8.0,55.5,3,39F72.png,2000,2000,7.5,55.232892,8.0,55.516993,5037
50373,39F73,7.0,55.0,7.5,55.25,3,39F73.png,2000,2000,7.0,54.981993,7.5,55.267886,5037
50374,39F74,7.5,55.0,8.0,55.25,3,39F74.png,2000,2000,7.5,54.981993,8.0,55.267886,5037
5038,40F7,7.0,55.5,8.0,56.0,2,40F7.png,2000,2000,7.0,55.468388,8.0,56.031184,1
50381,40F71,7.0,55.75,7.5,56.0,3,40F71.png,2000,2000,7.0,55.734698,7.5,56.015197,5038
50382,40F72,7.5,55.75,8.0,56.0,3,40F72.png,2000,2000,7.5,55.734698,8.0,56.015197,5038
50383,40F73,7.0,55.5,7.5,55.75,3,40F73.png,2000,2000,7.0,55.483794,7.5,55.766096,5038
50384,40F74,7.5,55.5,8.0,55.75,3,40F74.png,2000,2000,7.5,55.483794,8.0,55.766096,5038
5039,41F7,7.0,56.0,8.0,56.5,2,41F7.png,2000,2000,7.0,55.972028,8.0,56.527589,1
50391,41F71,7.0,56.25,7.5,56.5,3,41F71.png,2000,2000,7.0,56.236515,7.5,56.513392,5039
50392,41F72,7.5,56.25,8.0,56.5,3,41F72.png,2000,2000,7.5,56.236515,8.0,56.513392,5039
50393,41F73,7.0,56.0,7.5,56.25,3,41F73.png,2000,2000,7.0,55.985606,7.5,56.264296,5039
50394,41F74,7.5,56.0,8.0,56.25,3,41F74.png,2000,2000,7.5,55.985606,8.0,56.264296,5039
5040,42F7,7.0,56.5,8.0,57.0,2,42F7.png,2000,2000,7.0,56.47569,8.0,57.023974,1
50401,42F71,7.0,56.75,7.5,57.0,3,42F71.png,2000,2000,7.0,56.738343,7.5,57.011576,5040
50402,42F72,7.5,56.75,8.0,57.0,3,42F72.png,2000,2000,7.5,56.738343,8.0,57.011576,5040
50403,42F73,7.0,56.5,7.5,56.75,3,42F73.png,2000,2000,7.0,56.487428,7.5,56.762485,5040
50404,42F74,7.5,56.5,8.0,56.75,3,42F74.png,2000,2000,7.5,56.487428,8.0,56.762485,5040
5041,43F7,7.0,57.0,8.0,57.5,2,43F7.png,2000,2000,7.0,56.979373,8.0,57.520338,1
50411,43F71,7.0,57.25,7.5,57.5,3,43F71.png,2000,2000,7.0,57.240181,7.5,57.509749,5041
50412,43F72,7.5,57.25,8.0,57.5,3,43F72.png,2000,2000,7.5,57.240181,8.0,57.509749,5041
50413,43F73,7.0,57.0,7.5,57.25,3,43F73.png,2000,2000,7.0,56.989261,7.5,57.260664,5041
50414,43F74,7.5,57.0,8.0,57.25,3,43F74.png,2000,2000,7.5,56.989261,8.0,57.260664,5041
5134,38F8,8.0,54.5,9.0,55.0,2,38F8.png,2000,2000,8.0,54.461175,9.0,55.038312,1
51341,38F81,8.0,54.75,8.5,55.0,3,38F81.png,2000,2000,8.0,54.731097,8.5,55.018777,5134
51342,38F82,8.5,54.75,9.0,55.0,3,38F82.png,2000,2000,8.5,54.731097,9.0,55.018777,5134
51343,38F83,8.0,54.5,8.5,54.75,3,38F83.png,2000,2000,8.0,54.480204,8.5,54.769665,5134
51344,38F84,8.5,54.5,9.0,54.75,3,38F84.png,2000,2000,8.5,54.480204,9.0,54.769665,5134
5135,39F8,8.0,55.0,9.0,55.5,2,39F8.png,2000,2000,8.0,54.96477,9.0,55.534759,1
51351,39F81,8.0,55.25,8.5,55.5,3,39F81.png,2000,2000,8.0,55.232892,8.5,55.516993,5135
51352,39F82,8.5,55.25,9.0,55.5,3,39F82.png,2000,2000,8.5,55.232892,9.0,55.516993,5135
51353,39F83,8.0,55.0,8.5,55.25,3,39F83.png,2000,2000,8.0,54.981993,8.5,55.267886,5135
51354,39F84,8.5,55.0,9.0,55.25,3,39F84.png,2000,2000,8.5,54.981993,9.0,55.267886,5135
5136,40F8,8.0,55.5,9.0,56.0,2,40F8.png,2000,2000,8.0,55.468388,9.0,56.031184,1
51361,40F81,8.0,55.75,8.5,56.0,3,40F81.png,2000,2000,8.0,55.734698,8.5,56.015197,5136
51362,40F82,8.5,55.75,9.0,56.0,3,40F82.png,2000,2000,8.5,55.734698,9.0,56.015197,5136
51363,40F83,8.0,55.5,8.5,55.75,3,40F83.png,2000,2000,8.0,55.483794,8.5,55.766096,5136
51364,40F84,8.5,55.5,9.0,55.75,3,40F84.png,2000,2000,8.5,55.483794,9.0,55.766096,5136
5137,41F8,8.0,56.0,9.0,56.5,2,41F8.png,2000,2000,8.0,55.972028,9.0,56.527589,1
51371,41F81,8.0,56.25,8.5,56.5,3,41F81.png,2000,2000,8.0,56.236515,8.5,56.513392,5137
51372,41F82,8.5,56.25,9.0,56.5,3,41F82.png,2000,2000,8.5,56.236515,9.0,56.513392,5137
51373,41F83,8.0,56.0,8.5,56.25,3,41F83.png,2000,2000,8.0,55.985606,8.5,56.264296,5137
51374,41F84,8.5,56.0,9.0,56.25,3,41F84.png,2000,2000,8.5,55.985606,9.0,56.264296,5137
5138,42F8,8.0,56.5,9.0,57.0,2,42F8.png,2000,2000,8.0,56.47569,9.0,57.023974,1
51381,42F81,8.0,56.75,8.5,57.0,3,42F81.png,2000,2000,8.0,56.738343,8.5,57.011576,5138
51382,42F82,8.5,56.75,9.0,57.0,3,42F82.png,2000,2000,8.5,56.738343,9.0,57.011576,5138
51383,42F83,8.0,56.5,8.5,56.75,3,42F83.png,2000,2000,8.0,56.487428,8.5,56.762485,5138
51384,42F84,8.5,56.5,9.0,56.75,3,42F84.png,2000,2000,8.5,56.487428,9.0,56.762485,5138
5139,43F8,8.0,57.0,9.0,57.5,2,43F8.png,2000,2000,8.0,56.979373,9.0,57.520338,1
51391,43F81,8.0,57.25,8.5,57.5,3,43F81.png,2000,2000,8.0,57.240181,8.5,57.509749,5139
51392,43F82,8.5,57.25,9.0,57.5,3,43F82.png,2000,2000,8.5,57.240181,9.0,57.509749,5139
51393,43F83,8.0,57.0,8.5,57.25,3,43F83.png,2000,2000,8.0,56.989261,8.5,57.260664,5139
51394,43F84,8.5,57.0,9.0,57.25,3,43F84.png,2000,2000,8.5,56.989261,9.0,57.260664,5139
5232,38F9,9.0,54.5,10.0,55.0,2,38F9.png,2000,2000,9.0,54.461175,10.0,55.038312,1
52321,38F91,9.0,54.75,9.5,55.0,3,38F91.png,2000,2000,9.0,54.731097,9.5,55.018777,5232
52322,38F92,9.5,54.75,10.0,55.0,3,38F92.png,2000,2000,9.5,54.731097,10.0,55.018777,5232
52323,38F93,9.0,54.5,9.5,54.75,3,38F93.png,2000,2000,9.0,54.480204,9.5,54.769665,5232
52324,38F94,9.5,54.5,10.0,54.75,3,38F94.png,2000,2000,9.5,54.480204,10.0,54.769665,5232
5233,39F9,9.0,55.0,10.0,55.5,2,39F9.png,2000,2000,9.0,54.96477,10.0,55.534759,1
52331,39F91,9.0,55.25,9.5,55.5,3,39F91.png,2000,2000,9.0,55.232892,9.5,55.516993,5233
52332,39F92,9.5,55.25,10.0,55.5,3,39F92.png,2000,2000,9.5,55.232892,10.0,55.516993,5233
52333,39F93,9.0,55.0,9.5,55.25,3,39F93.png,2000,2000,9.0,54.981993,9.5,55.267886,5233
52334,39F94,9.5,55.0,10.0,55.25,3,39F94.png,2000,2000,9.5,54.981993,10.0,55.267886,5233
5234,40F9,9.0,55.5,10.0,56.0,2,40F9.png,2000,2000,9.0,55.468388,10.0,56.031184,1
52341,40F91,9.0,55.75,9.5,56.0,3,40F91.png,2000,2000,9.0,55.734698,9.5,56.015197,5234
52342,40F92,9.5,55.75,10.0,56.0,3,40F92.png,2000,2000,9.5,55.734698,10.0,56.015197,5234
52343,40F93,9.0,55.5,9.5,55.75,3,40F93.png,2000,2000,9.0,55.483794,9.5,55.766096,5234
52344,40F94,9.5,55.5,10.0,55.75,3,40F94.png,2000,2000,9.5,55.483794,10.0,55.766096,5234
5330,38G0,10.0,54.5,11.0,55.0,2,38G0.png,2000,2000,10.0,54.461175,11.0,55.038312,1
53301,38G01,10.0,54.75,10.5,55.0,3,38G01.png,2000,2000,10.0,54.731097,10.5,55.018777,5330
53302,38G02,10.5,54.75,11.0,55.0,3,38G02.png,2000,2000,10.5,54.731097,11.0,55.018777,5330
53303,38G03,10.0,54.5,10.5,54.75,3,38G03.png,2000,2000,10.0,54.480204,10.5,54.769665,5330
53304,38G04,10.5,54.5,11.0,54.75,3,38G04.png,2000,2000,10.5,54.480204,11.0,54.769665,5330
5331,39G0,10.0,55.0,11.0,55.5,2,39G0.png,2000,2000,10.0,54.96477,11.0,55.534759,1
53311,39G01,10.0,55.25,10.5,55.5,3,39G01.png,2000,2000,10.0,55.232892,10.5,55.516993,5331
53312,39G02,10.5,55.25,11.0,55.5,3,39G02.png,2000,2000,10.5,55.232892,11.0,55.516993,5331
53313,39G03,10.0,55.0,10.5,55.25,3,39G03.png,2000,2000,10.0,54.981993,10.5,55.267886,5331
53314,39G04,10.5,55.0,11.0,55.25,3,39G04.png,2000,2000,10.5,54.981993,11.0,55.267886,5331
5332,40G0,10.0,55.5,11.0,56.0,2,40G0.png,2000,2000,10.0,55.468388,11.0,56.031184,1
53321,40G01,10.0,55.75,10.5,56.0,3,40G01.png,2000,2000,10.0,55.734698,10.5,56.015197,5332
53322,40G02,10.5,55.75,11.0,56.0,3,40G02.png,2000,2000,10.5,55.734698,11.0,56.015197,5332
53323,40G03,10.0,55.5,10.5,55.75,3,40G03.png,2000,2000,10.0,55.483794,10.5,55.766096,5332
53324,40G04,10.5,55.5,11.0,55.75,3,40G04.png,2000,2000,10.5,55.483794,11.0,55.766096,5332
5333,41G0,10.0,56.0,11.0,56.5,2,41G0.png,2000,2000,10.0,55.972028,11.0,56.527589,1
53331,41G01,10.0,56.25,10.5,56.5,3,41G01.png,2000,2000,10.0,56.236515,10.5,56.513392,5333
53332,41G02,10.5,56.25,11.0,56.5,3,41G02.png,2000,2000,10.5,56.236515,11.0,56.513392,5333
53333,41G03,10.0,56.0,10.5,56.25,3,41G03.png,2000,2000,10.0,55.985606,10.5,56.264296,5333
53334,41G04,10.5,56.0,11.0,56.25,3,41G04.png,2000,2000,10.5,55.985606,11.0,56.264296,5333
5334,42G0,10.0,56.5,11.0,57.0,2,42G0.png,2000,2000,10.0,56.47569,11.0,57.023974,1
53341,42G01,10.0,56.75,10.5,57.0,3,42G01.png,2000,2000,10.0,56.738343,10.5,57.011576,5334
53342,42G02,10.5,56.75,11.0,57.0,3,42G02.png,2000,2000,10.5,56.738343,11.0,57.011576,5334
53343,42G03,10.0,56.5,10.5,56.75,3,42G03.png,2000,2000,10.0,56.487428,10.5,56.762485,5334
53344,42G04,10.5,56.5,11.0,56.75,3,42G04.png,2000,2000,10.5,56.487428,11.0,56.762485,5334
5335,43G0,10.0,57.0,11.0,57.5,2,43G0.png,2000,2000,10.0,56.979373,11.0,57.520338,1
53351,43G01,10.0,57.25,10.5,57.5,3,43G01.png,2000,2000,10.0,57.240181,10.5,57.509749,5335
53352,43G02,10.5,57.25,11.0,57.5,3,43G02.png,2000,2000,10.5,57.240181,11.0,57.509749,5335
53353,43G03,10.0,57.0,10.5,57.25,3,43G03.png,2000,2000,10.0,56.989261,10.5,57.260664,5335
53354,43G04,10.5,57.0,11.0,57.25,3,43G04.png,2000,2000,10.5,56.989261,11.0,57.260664,5335
5428,38G1,11.0,54.5,12.0,55.0,2,38G1.png,2000,2000,11.0,54.461175,12.0,55.038312,1
54281,38G11,11.0,54.75,11.5,55.0,3,38G11.png,2000,2000,11.0,54.731097,11.5,55.018777,5428
